State,Year,Police Strength,Police Strength-Women,Total
Manipur,2006,"14,251",236,"14,487"
Goa,2006,"3,522",235,"3,757"
Tamil Nadu,2006,"84,240","10,061","94,301"
Jammu & Kashmir,2006,"59,209","1,667","60,876"
Andhra Pradesh,2006,"79,296","1,325","80,621"
Delhi,2006,"56,433","3,498","59,931"
Haryana,2006,"34,480",821,"35,301"
Uttar Pradesh,2006,"152,933","2,130","155,063"
Punjab,2006,"71,927","1,515","73,442"
Maharashtra,2006,"153,628","7,477","161,105"
Nagaland,2006,"11,947",21,"11,968"
Rajasthan,2006,66688,1718,"68,406"
Arunachal Pradesh,2006,"5,442",283,"5,725"
Jharkhand,2006,"28,766",630,"29,396"
Gujarat,2006,"83,978","2,463","86,441"
West Bengal,2006,"80,571","1,440","82,011"
Bihar,2006,"51,623",876,"52,499"
Madhya Pradesh,2006,"76,365","2,074","78,439"
Himachal Pradesh,2006,"12,073",591,"12,664"
Odisha,2006,"38,752","2,669","41,421"
Sikkim,2006,"3,666",178,"3,844"
Chandigarh,2006,"4,063",261,"4,324"
Kerala,2006,"43,544","2,433","45,977"
Tripura,2006,"20,302",661,"20,963"
Assam,2006,"52,049",388,"52,437"
Chhattisgarh,2006,"30,095",672,"30,767"
Karnataka,2006,"52,052","3,606","55,658"
Uttarakhand,2006,"13,527",651,"14,178"
Mizoram,2006,"7,369",0,"7,369"
Meghalaya,2006,"8,930",126,"9,056"
