State,Year,Police Strength,Police Strength-Women,Total
Maharashtra,2009,"179,903","12,813","192,716"
Karnataka,2009,"75,342","4,647","79,989"
Meghalaya,2009,"10,064",191,"10,255"
Jammu & Kashmir,2009,"88,113","1,760","89,873"
Assam,2009,"51,729",349,"52,078"
Madhya Pradesh,2009,"76,836","1,897","78,733"
Jharkhand,2009,"42,360","1,934","44,294"
Tamil Nadu,2009,"88,672","7,686","96,358"
Bihar,2009,"59,200","1,085","60,285"
Goa,2009,"4,724",426,"5,150"
Mizoram,2009,"10,948",0,"10,948"
Tripura,2009,"22,742",700,"23,442"
Manipur,2009,"19,236",537,"19,773"
West Bengal,2009,"83,358","2,349","85,707"
Rajasthan,2009,61407,1757,"63,164"
Uttarakhand,2009,"15,587","1,336","16,923"
Odisha,2009,"43,475","3,144","46,619"
Kerala,2009,"39,789","2,736","42,525"
Arunachal Pradesh,2009,"7,256",473,"7,729"
Himachal Pradesh,2009,"13,970","1,164","15,134"
Punjab,2009,"67,044","1,792","68,836"
Chandigarh,2009,"4,695",500,"5,195"
Haryana,2009,"41,392","1,704","43,096"
Uttar Pradesh,2009,"147,799","2,411","150,210"
Andhra Pradesh,2009,"106,855","1,342","108,197"
Chhattisgarh,2009,"39,707","1,117","40,824"
Gujarat,2009,"60,356","1,636","61,992"
Nagaland,2009,"10,003",66,"10,069"
Sikkim,2009,"3,604",179,"3,783"
Delhi,2009,"64,443","4,622","69,065"
