State,Year,Total Number of cases,
Andhra Pradesh,2003,14663,
Arunachal Pradesh,2003,2260,
Assam,2003,5123,
Bihar,2003,7213,
Chhattisgarh,2003,5289,
Goa,2003,2418,
Gujarat,2003,19054,
Haryana,2003,9930,
Himachal Pradesh,2003,2886,
Jammu & Kashmir,2003,3951,
Jharkhand,2003,3766,
Karnataka,2003,13058,
Kerala,2003,7870,
Madhya Pradesh,2003,16398,
Maharashtra,2003,26329,
Manipur,2003,2293,
Meghalaya,2003,2395,
Mizoram,2003,2335,
Nagaland,2003,2533,
Odisha,2003,5940,
Punjab,2003,6233,
Rajasthan,2003,15587,
Sikkim,2003,2033,
Tamil Nadu,2003,13019,
Tripura,2003,2265,
Uttar Pradesh,2003,14626.5,
Uttarakhand,2003,3001,
West Bengal,2003,8003,
