State,Year,Total Number of cases,
Andhra Pradesh,2004,14263,
Arunachal Pradesh,2004,2306,
Assam,2004,5256,
Bihar,2004,8892,
Chhattisgarh,2004,5649,
Goa,2004,2397,
Gujarat,2004,18493,
Haryana,2004,10590,
Himachal Pradesh,2004,2895,
Jammu & Kashmir,2004,3750,
Jharkhand,2004,4317,
Karnataka,2004,16039,
Kerala,2004,8387,
Madhya Pradesh,2004,17720,
Maharashtra,2004,31563,
Manipur,2004,2278,
Meghalaya,2004,2412,
Mizoram,2004,2146,
Nagaland,2004,2295,
Odisha,2004,6344,
Punjab,2004,5814,
Rajasthan,2004,17689,
Sikkim,2004,2059,
Tamil Nadu,2004,11594,
Tripura,2004,2180,
Uttar Pradesh,2004,22137,
Uttarakhand,2004,3248,
West Bengal,2004,8235,
