State,Year,Total Number of cases,
Andhra Pradesh,2006,15553,
Arunachal Pradesh,2006,2329,
Assam,2006,6501,
Bihar,2006,8328,
Chhattisgarh,2006,7138,
Goa,2006,2602,
Gujarat,2006,19182,
Haryana,2006,16722,
Himachal Pradesh,2006,2888,
Jammu & Kashmir,2006,4026,
Jharkhand,2006,5364,
Karnataka,2006,16394,
Kerala,2006,8321,
Madhya Pradesh,2006,20294,
Maharashtra,2006,35185,
Manipur,2006,2294,
Meghalaya,2006,2424,
Mizoram,2006,2435,
Nagaland,2006,2366,
Odisha,2006,7025,
Punjab,2006,6675,
Rajasthan,2006,18542,
Sikkim,2006,2063,
Tamil Nadu,2006,9323,
Tripura,2006,2168,
Uttar Pradesh,2006,21873,
Uttarakhand,2006,3207,
West Bengal,2006,8345,
