State,Year,Total Number of cases,
Andhra Pradesh,2007,17642,
Arunachal Pradesh,2007,2387,
Assam,2007,7353,
Bihar,2007,8511,
Chhattisgarh,2007,6816,
Goa,2007,2612,
Gujarat,2007,20354,
Haryana,2007,17220,
Himachal Pradesh,2007,3038,
Jammu & Kashmir,2007,3862,
Jharkhand,2007,6459,
Karnataka,2007,16307,
Kerala,2007,8494,
Madhya Pradesh,2007,22895,
Maharashtra,2007,37043,
Manipur,2007,2384,
Meghalaya,2007,2358,
Mizoram,2007,2312,
Nagaland,2007,2519,
Odisha,2007,7453,
Punjab,2007,7979,
Rajasthan,2007,20392,
Sikkim,2007,2084,
Tamil Nadu,2007,9552,
Tripura,2007,2208,
Uttar Pradesh,2007,24604,
Uttarakhand,2007,3379,
West Bengal,2007,7594,
