State,Year,Total Number of cases,
Andhra Pradesh,2008,20452,
Arunachal Pradesh,2008,2293,
Assam,2008,7641,
Bihar,2008,9129,
Chhattisgarh,2008,7300,
Goa,2008,2656,
Gujarat,2008,24453,
Haryana,2008,19668,
Himachal Pradesh,2008,3253,
Jammu & Kashmir,2008,4082,
Jharkhand,2008,7862,
Karnataka,2008,22936,
Kerala,2008,8086,
Madhya Pradesh,2008,28122,
Maharashtra,2008,42855,
Manipur,2008,2663,
Meghalaya,2008,2414,
Mizoram,2008,2197,
Nagaland,2008,2621,
Odisha,2008,7829,
Punjab,2008,8224,
Rajasthan,2008,23193,
Sikkim,2008,2074,
Tamil Nadu,2008,11339,
Tripura,2008,2235,
Uttar Pradesh,2008,26375,
Uttarakhand,2008,3630,
West Bengal,2008,8025,
